Id,name,addr1,addr2,latitude,longitude
70,민스커피,경기 화성시 동탄반송2길 25-2,(지번) 반송동 30-7,37.2096016480302,127.065105456364
71,이찌고,경기 화성시 동탄반송길 6,(지번) 반송동 34-11,37.2088413731818,127.063721979681
72,설탕 만들기,경기 화성시 동탄공원로3길 18-5 101호,(지번) 반송동 45-7,37.2079034638613,127.061517149706
73,제이델링,경기 화성시 동탄공원로3길 18-20,(지번) 반송동 49-8,37.2074712730734,127.062125004942
74,미아도르디저트,경기 화성시 동탄반송3길 40-13 1층 101호,(지번) 반송동 16-9,37.2098090716152,127.067040710961
75,자매케키,경기 화성시 동탄공원로3길 18-8 101호,(지번) 반송동 49-3,37.2076728245331,127.061460073275
76,봉구미당,경기 화성시 동탄공원로1길 8-21 1층 103호,(지번) 반송동 68-12,37.2020398726476,127.06099749713
77,엔젤스가든,경기 화성시 노작로3길 29-1,(지번) 반송동 131-6,37.1959689991771,127.078096501612
78,로이,경기 화성시 노작로4길 22-23 1층,(지번) 반송동 111-4,37.1987710093884,127.077397085899
79,가니스윗츠,경기 화성시 동탄지성로 133 503호,(지번) 능동 1114-6,37.2091201960643,127.060733952454
80,크림멜로우,경기 화성시 동탄기흥로520번길 13 1층,(지번) 영천동 800-4,37.2072061197355,127.094181040354
81,수니케이크,경기 화성시 동탄역로 102 엘리스빌 1078호,(지번) 오산동 1020,37.1958618114532,127.098154314807
82,베니진,경기 화성시 동탄역로 102 동탄역린스트라우스판매시설 1층 1017호,(지번) 오산동 1020,37.1958618114532,127.098154314807
83,롤리비에,경기 화성시 동탄오산로 86-3 110호,(지번) 오산동 969-1,37.1981500919672,127.097756174406
84,투래빗,경기 화성시 병점동로 92-6,(지번) 진안동 883-5,37.2123582933091,127.041032058519
85,카페누크,경기 화성시 떡전골로 60 106동 122호 카페누크,(지번) 병점동 871,37.2045300842775,127.035655334902
86,마카레베이킹,경기 화성시 병점3로 47,(지번) 병점동 345-54,37.2086759348184,127.038454807631
87,남쓰브레드,경기 오산시 수청로106번길 20,(지번) 금암동 490-1,37.1773285758576,127.054719836651
88,타임투글로우,경기 화성시 동탄기흥로257번나길 24-5 1층 102호,(지번) 방교동 757-4,37.1812078357374,127.089341322085
89,메릴리,경기 수원시 영통구 태장로35번길 19 1층,(지번) 망포동 232-1,37.2398610238633,127.049836982962
90,두살차이,경기 화성시 동탄기흥로257번나길 4-6 102호,(지번) 방교동 751-4,37.183276028048,127.089457725019
91,디저트39 동탄 2시범단지점,경기 화성시 동탄순환대로 617 범환상가 104호,(지번) 청계동 535-7,37.2007436734,127.114741363339
92,케키케키,경기 화성시 동탄순환대로 697 비전프라자 6층 606호,(지번) 영천동 678-4,37.2068770583994,127.110259040252
93,헬로아이,경기 오산시 세남로 28-25,(지번) 양산동 673-2,37.1936809930436,127.035268638366
94,베이커리시오,경기 화성시 지산1길 4-10 101호,(지번) 영천동 695-4,37.2068814133576,127.113188978516
95,사르르초코,경기 용인시 기흥구 서천동로43번길 5-8,(지번) 서천동 778-10,37.2368600609232,127.077399270128
96,브레드트립,경기 수원시 영통구 태장로54번길 66 1층,(지번) 망포동 650-146,37.2361087713106,127.051788743215
97,모디쿠스,경기 화성시 동탄대로시범길 134 카림애비뉴 판매시설동 2층 2065호,(지번) 청계동 536,37.1990328379764,127.113063831502
98,모린가,경기 오산시 내삼미로80번길 12-11 1층,(지번) 수청동 628-14,37.1686763427159,127.067202186603
99,카페원모어,경기 수원시 영통구 덕영대로 1699,(지번) 영통동 1024-7,37.2479713166815,127.077097970377
100,안녕달곰,경기 오산시 오산대역로132번길 54 그랜드캐슬 상가 1층 102호,(지번) 수청동 596-6,37.1698544235602,127.059546155934
101,파이브,경기 수원시 영통구 영일로 16-12 1층,(지번) 영통동 1016-5,37.2488679659168,127.076789824314
102,오브위(OF Oui),경기 수원시 영통구 매영로393번길 13,(지번) 영통동 1003-11,37.2499770853961,127.075065849032
103,카페드로잉,"경기 화성시 동탄대로 181 동탄린스트라우스더레이크 판매시설 B동 1층 C111,C112호",(지번) 송동 694,37.1720762292297,127.104078001389
104,디저트카페보니타,경기 화성시 동탄대로10길 20,(지번) 산척동 699,37.1730578649401,127.107580546725
105,나쿠펜다,경기 수원시 영통구 반달로 94,(지번) 영통동 1034-5,37.2522081430936,127.07829259124
106,꽁냥꽁냥과자점,경기 수원시 영통구 영통로 237 에이스 하이엔드타워 영통 1층 117호,(지번) 신동 338,37.2486678487986,127.057004448305
107,로뎀,경기 수원시 권선구 곡반정로65번길 9-3 1층 101호,(지번) 곡반정동 596-1,37.234352479454,127.028237813483
108,데일리테이블,경기 수원시 영통구 권선로882번길 87 1층,(지번) 신동 975,37.2465642727006,127.041382076664
109,카페그라시아앤 디저트웍스,경기 오산시 은여울로7번길 47,(지번) 궐동 19,37.1608393356697,127.068101086214
110,디아뜰리에,경기 수원시 영통구 청명남로34번길 3 플래티넘빌딩 1층 104호,(지번) 영통동 1011-6,37.2527727228542,127.075962822518
111,두두시루,경기 수원시 영통구 반달로35번길 30 아이파크몰 223호,(지번) 영통동 1012-1,37.2517808748298,127.07746040642
112,마미아뜰리에,경기 수원시 영통구 권선로882번길 31-29 1층 101호,(지번) 신동 933,37.2482112778128,127.04392351119
113,디아즈 인계점,경기 수원시 팔달구 인계로166번길 48-7 HP빌딩 F층 루프탑,(지번) 인계동 1119-8,37.2641988632842,127.034339744673
114,케키제작소,경기 수원시 영통구 권선로908번길 26-34 1층,(지번) 신동 931,37.2486451486592,127.044358834761
115,"여름,달",경기 수원시 영통구 권선로882번길 31-8 1층 101호,(지번) 신동 925,37.2484877229012,127.042928080797
116,크림노트,경기 화성시 동탄대로5길 21 라크몽 B동 2층 w203호,(지번) 송동 726-1,37.1668954710627,127.105150309732
117,블레스유아뜰리에,경기 수원시 영통구 권선로882번길 107-62,(지번) 신동 978,37.2462483167078,127.041266264138
118,카페그라시아,경기 오산시 대원로 8-5 1층,(지번) 원동 762-10,37.1461908128056,127.069360110796
119,에트르,경기 수원시 영통구 효원로 393 밀레니엄플라자 118호,(지번) 매탄동 1267-5,37.2591165009604,127.044694930826
120,마롱브런치&베이커리카페,"경기 화성시 정남면 세자로 251 2,3층",(지번) 정남면 보통리 117-3,,
121,카페보라동,경기 용인시 기흥구 용구대로1890번길 25,(지번) 보라동 389-5,37.2580815564164,127.106911916532
122,카페나나,경기 오산시 청학로 81 1층,(지번) 청학동 3-9,37.1561969235646,127.06452355092
123,하니디저트(하니과자점),경기 화성시 왕배산1길 20-7,(지번) 목동 453-4,37.179989867961,127.123901817549
124,슈슈팝,경기 화성시 왕배산2길 3-5 1층 102호,(지번) 목동 460-3,37.1807517685062,127.125897305492
125,카페해랑,경기 오산시 운천로 39 라이온스빌딩 1층 103호,(지번) 원동 275-1,37.1460092729673,127.074229982666
126,에그,경기 수원시 권선구 동수원로242번길 20,(지번) 권선동 1297-5,37.2504144272101,127.035586321091
127,듀베이크,경기 용인시 기흥구 덕영대로2077번길 6-1 1층,(지번) 영덕동 42,37.2690847788194,127.097117338292
128,나비,경기 용인시 기흥구 금화로82번길 9 주공프라자 1층 101호,(지번) 상갈동 459-3,37.2659365948381,127.109838553286
129,달콤키친,경기 화성시 동탄장지천6길 43 1층 101호,(지번) 장지동 1021-2,37.1565281901852,127.109316683482
130,REPOS,경기 오산시 서동로 42 1층,(지번) 서동 191,37.1441035300795,127.038933217882
131,센텀커피,경기 수원시 팔달구 경수대로446번길 12 1층,(지번) 인계동 1025,37.2656546743159,127.027051202311
132,소꿉과자당,경기 수원시 영통구 매탄로37번길 10-1 1층 코너상가,(지번) 매탄동 1171-4,37.2553829153549,127.039703946586
133,브리앙뜨과자점,경기 수원시 권선구 세지로 46,(지번) 세류동 1089-19,37.2561387136541,127.016555444182
134,제이델링 수원점,경기 수원시 영통구 월드컵로97번길 34,(지번) 원천동 616-3,37.2743933866318,127.051578292217
135,류드엘라,경기 화성시 동탄대로4길 18 B 101호,(지번) 장지동 964,37.1622212265462,127.107274719517
136,이레베이크,경기 수원시 영통구 동수원로514번길 22 1층 103호,(지번) 매탄동 196-23,37.2719160028009,127.047192413128
137,은드림,경기 수원시 권선구 세권로 196 1층,(지번) 권선동 1062-16,37.2551861685466,127.025478585109
138,솜즈,경기 용인시 기흥구 신갈로 95 1층 soms(솜즈),(지번) 신갈동 37-3,37.2751560139296,127.105512334012
139,위위크,경기 수원시 팔달구 인계로 75 1층,(지번) 인계동 967-6,37.2689848021574,127.025987083063
140,사월,경기 수원시 영통구 매여울로53번길 66 2층 201호,(지번) 매탄동 172-54,37.2728300868159,127.041218417884
141,예스디저트,"경기 용인시 기흥구 신구로42번길 22 풍림아파트 106동 1층 106,107호",(지번) 구갈동 405-1,37.275674254595,127.111739623189
142,카페루나,경기 수원시 영통구 매여울로53번길 76-2 1층,(지번) 매탄동 172-57,37.2729756712422,127.040766598666
143,라메종비올레뜨,경기 화성시 봉담읍 와우로15번길 29-8,(지번) 봉담읍 와우리 213-40,37.2169425781862,126.972006288905
144,스위트코코,경기 수원시 권선구 효원로94번길 14 메디컬플라자 1층 102호,(지번) 세류동 1258-3,37.2660065305449,127.011598451381
145,쁘띠빵앗간,경기 수원시 팔달구 정조로631번길 3 1층 102호,(지번) 매교동 167-13,37.2650079557287,127.015145012925
146,어닛케이크,경기 오산시 경기대로 78-5,(지번) 원동 901-1,37.1317516744736,127.072808525427
147,라플레아르띠,경기 수원시 팔달구 장다리로233번길 21 1층,(지번) 인계동 971-14,37.2707748179395,127.025118653083
148,핑크쿼카,경기 수원시 영통구 광교호수공원로 277 광교중흥에스클래스상가 지하2층 180호,(지번) 원천동 589,37.2839417579058,127.056777997528
149,버터서퍼,경기 수원시 영통구 광교호수공원로 277 어뮤즈스퀘어 지하2층 65호,(지번) 원천동 589,37.2839417579058,127.056777997528
150,베리몽드,경기 수원시 팔달구 정조로715번길 22 1층,(지번) 매교동 18-5,37.2709141500756,127.016151778143
151,축복쿠키,경기 수원시 영통구 광교호수공원로 277 중흥S클래스 어뮤즈스퀘어 지하2층 191호,(지번) 원천동 589,37.2839417579058,127.056777997528
152,베린 드 르페르,경기 수원시 영통구 법조로 25 SK뷰레이크 1층 150호,(지번) 하동 1016-1,37.2874808899042,127.060178440172
153,이에우,경기 수원시 팔달구 행궁로 98 교동빌딩 1층,(지번) 교동 103-1,37.2737789084417,127.01556146554
154,가또브랑제리,경기 수원시 권선구 고색로14번길 39 1층 104호,(지번) 고색동 373-20,37.2471477454262,126.97947775506
