Id,name,addr1,addr2
79,가니스윗츠,경기 화성시 동탄지성로 133 503호,(지번) 능동 1114-6
80,크림멜로우,경기 화성시 동탄기흥로520번길 13 1층,(지번) 영천동 800-4
81,수니케이크,경기 화성시 동탄역로 102 엘리스빌 1078호,(지번) 오산동 1020
82,베니진,경기 화성시 동탄역로 102 동탄역린스트라우스판매시설 1층 1017호,(지번) 오산동 1020
83,롤리비에,경기 화성시 동탄오산로 86-3 110호,(지번) 오산동 969-1
84,투래빗,경기 화성시 병점동로 92-6,(지번) 진안동 883-5
85,카페누크,경기 화성시 떡전골로 60 106동 122호 카페누크,(지번) 병점동 871
86,마카레베이킹,경기 화성시 병점3로 47,(지번) 병점동 345-54
87,남쓰브레드,경기 오산시 수청로106번길 20,(지번) 금암동 490-1
88,타임투글로우,경기 화성시 동탄기흥로257번나길 24-5 1층 102호,(지번) 방교동 757-4
89,메릴리,경기 수원시 영통구 태장로35번길 19 1층,(지번) 망포동 232-1
90,두살차이,경기 화성시 동탄기흥로257번나길 4-6 102호,(지번) 방교동 751-4
91,디저트39 동탄 2시범단지점,경기 화성시 동탄순환대로 617 범환상가 104호,(지번) 청계동 535-7
92,케키케키,경기 화성시 동탄순환대로 697 비전프라자 6층 606호,(지번) 영천동 678-4
93,헬로아이,경기 오산시 세남로 28-25,(지번) 양산동 673-2
94,베이커리시오,경기 화성시 지산1길 4-10 101호,(지번) 영천동 695-4
95,사르르초코,경기 용인시 기흥구 서천동로43번길 5-8,(지번) 서천동 778-10
96,브레드트립,경기 수원시 영통구 태장로54번길 66 1층,(지번) 망포동 650-146
97,모디쿠스,경기 화성시 동탄대로시범길 134 카림애비뉴 판매시설동 2층 2065호,(지번) 청계동 536
98,모린가,경기 오산시 내삼미로80번길 12-11 1층,(지번) 수청동 628-14
99,카페원모어,경기 수원시 영통구 덕영대로 1699,(지번) 영통동 1024-7
